TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1 635016607.77952 635016609.40004 635016611.02056 0 0.0 1537.8586913174163 0.0 0.0 0.0
2 635016611.02056 635016612.64108 635016614.2616 0 0.0 1537.8586913174163 0.0 0.0 0.0
3 635016614.2616 635016615.88212 635016617.50264 0 0.0 1537.8586913174163 0.0 0.0 0.0
4 635016617.50264 635016619.12316 635016620.74368 0 0.0 1537.8586913174163 0.0 0.0 0.0
5 635016620.74368 635016622.3642 635016623.98472 0 0.0 1537.8586913174163 0.0 0.0 0.0
6 635016623.98472 635016625.60524 635016627.22576 0 0.0 1537.8586913174163 0.0 0.0 0.0
7 635016627.22576 635016628.84628 635016630.4668 0 0.0 1537.8586913174163 0.0 0.0 0.0
8 635016630.4668001 635016632.0873201 635016633.7078401 0 0.0 1537.8586913174163 0.0 0.0 0.0
9 635016633.7078401 635016635.3283601 635016636.9488801 0 0.0 1537.8586913174163 0.0 0.0 0.0
10 635016636.9488801 635016638.5694001 635016640.1899201 0 0.0 1537.8586913174163 0.0 0.0 0.0
11 635016640.1899201 635016641.8104401 635016643.43096 0 0.0 1537.8586913174163 0.0 0.0 0.0
12 635016643.43096 635016645.05148 635016646.672 0 0.0 1537.8586913174163 0.0 0.0 0.0
13 635016646.672 635016648.29252 635016649.91304 0 0.0 1537.8586913174163 0.0 0.0 0.0
14 635016649.91304 635016651.53356 635016653.15408 0 0.0 1537.8586913174163 0.0 0.0 0.0
15 635016653.15408 635016654.7746 635016656.39512 0 0.0 1537.8586913174163 0.0 0.0 0.0
16 635016656.39512 635016658.01564 635016659.63616 0 0.0 1537.8586913174163 0.0 0.0 0.0
17 635016659.63616 635016661.25668 635016662.8772 0 0.0 1537.8586913174163 0.0 0.0 0.0
18 635016662.8772 635016664.49772 635016666.11824 0 0.0 1537.8586913174163 0.0 0.0 0.0
19 635016666.11824 635016667.73876 635016669.35928 0 0.0 1537.8586913174163 0.0 0.0 0.0
20 635016669.35928 635016670.9798 635016672.60032 0 0.0 1537.8586913174163 0.0 0.0 0.0
21 635016672.60032 635016674.22084 635016675.84136 0 0.0 1537.8586913174163 0.0 0.0 0.0
22 635016675.8413601 635016677.4618801 635016679.0824001 0 0.0 1537.8586913174163 0.0 0.0 0.0
